1	|	2	|	3	|	4	|	5	|	6	|	7	|	8	|	9	|	10	|	11	|	12	|	13	|	14	|	15	|	16
kval	|	english_lang 19	|	lang 19	|	lang_english 19	|		|		|		|		|		|		|		|		|		|		|	reserved1 19	|	reserved2 19
spicy	|	english_lang 20	|	lang 20	|	lang_english 20	|		|		|		|		|		|		|		|		|		|		|	reserved1 20	|	reserved2 20
drivel	|	english_lang 21	|	lang 21	|	lang_english 21	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 21	|	reserved2 21
ratel	|	english_lang 22	|	lang 22	|	lang_english 22	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 22	|	reserved2 22
unjoin	|	english_lang 23	|	lang 23	|	lang_english 23	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 23	|	reserved2 23
herl	|	english_lang 24	|	lang 24	|	lang_english 24	|		|		|		|		|		|		|		|		|		|		|	reserved1 24	|	reserved2 24
sieve	|	english_lang 25	|	lang 25	|	lang_english 25	|		|		|		|		|		|		|		|		|		|		|	reserved1 25	|	reserved2 25
spence	|	english_lang 26	|	lang 26	|	lang_english 26	|		|		|		|		|		|		|		|		|		|		|	reserved1 26	|	reserved2 26
wlm	|	english_lang 27	|	lang 27	|	lang_english 27	|		|		|		|		|		|		|		|		|		|		|	reserved1 27	|	reserved2 27
palest	|	english_lang 28	|	lang 28	|	lang_english 28	|		|		|		|		|		|		|		|		|		|		|	reserved1 28	|	reserved2 28
dormie	|	english_lang 29	|	lang 29	|	lang_english 29	|		|		|		|		|		|		|		|		|		|		|	reserved1 29	|	reserved2 29
trode	|	english_lang 30	|	lang 30	|	lang_english 30	|		|		|		|		|		|		|		|		|		|		|	reserved1 30	|	reserved2 30
corker	|	english_lang 31	|	lang 31	|	lang_english 31	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 31	|	reserved2 31
towel	|	english_lang 32	|	lang 32	|	lang_english 32	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 32	|	reserved2 32
joule	|	english_lang 33	|	lang 33	|	lang_english 33	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 33	|	reserved2 33
per	|	english_lang 34	|	lang 34	|	lang_english 34	|		|		|		|		|		|		|		|		|	etheme4	|	ltheme4	|	reserved1 34	|	reserved2 34
callot	|	english_lang 35	|	lang 35	|	lang_english 35	|		|		|		|		|		|		|		|		|		|		|	reserved1 35	|	reserved2 35
tain	|	english_lang 36	|	lang 36	|	lang_english 36	|		|		|		|		|		|		|		|		|		|		|	reserved1 36	|	reserved2 36
harlen	|	english_lang 37	|	lang 37	|	lang_english 37	|		|		|		|		|		|		|		|		|		|		|	reserved1 37	|	reserved2 37
cry	|	english_lang 38	|	lang 38	|	lang_english 38	|		|		|		|		|		|		|		|		|		|		|	reserved1 38	|	reserved2 38
jason	|	english_lang 39	|	lang 39	|	lang_english 39	|		|		|		|		|		|		|		|		|		|		|	reserved1 39	|	reserved2 39
rumple	|	english_lang 40	|	lang 40	|	lang_english 40	|		|		|		|		|		|		|		|		|		|		|	reserved1 40	|	reserved2 40
ave	|	english_lang 41	|	lang 41	|	lang_english 41	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 41	|	reserved2 41
unplan	|	english_lang 42	|	lang 42	|	lang_english 42	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 42	|	reserved2 42
songka	|	english_lang 43	|	lang 43	|	lang_english 43	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 43	|	reserved2 43
parecy	|	english_lang 44	|	lang 44	|	lang_english 44	|		|		|		|		|		|		|		|		|		|		|	reserved1 44	|	reserved2 44
nagger	|	english_lang 45	|	lang 45	|	lang_english 45	|		|		|		|		|		|		|		|		|		|		|	reserved1 45	|	reserved2 45
zero	|	english_lang 46	|	lang 46	|	lang_english 46	|		|		|		|		|		|		|		|		|		|		|	reserved1 46	|	reserved2 46
m?rida	|	english_lang 47	|	lang 47	|	lang_english 47	|		|		|		|		|		|		|		|		|		|		|	reserved1 47	|	reserved2 47
tucum	|	english_lang 48	|	lang 48	|	lang_english 48	|		|		|		|		|		|		|		|		|		|		|	reserved1 48	|	reserved2 48
meu	|	english_lang 49	|	lang 49	|	lang_english 49	|		|		|		|		|		|		|		|		|		|		|	reserved1 49	|	reserved2 49
infelt	|	english_lang 50	|	lang 50	|	lang_english 50	|		|		|		|		|		|		|		|		|		|		|	reserved1 50	|	reserved2 50
carmel	|	english_lang 51	|	lang 51	|	lang_english 51	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 51	|	reserved2 51
semang	|	english_lang 52	|	lang 52	|	lang_english 52	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 52	|	reserved2 52
cadman	|	english_lang 53	|	lang 53	|	lang_english 53	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 53	|	reserved2 53
foray	|	english_lang 54	|	lang 54	|	lang_english 54	|		|		|		|		|		|		|		|		|	etheme4	|	ltheme4	|	reserved1 54	|	reserved2 54
waals	|	english_lang 55	|	lang 55	|	lang_english 55	|		|		|		|		|		|		|		|		|		|		|	reserved1 55	|	reserved2 55
dryer	|	english_lang 56	|	lang 56	|	lang_english 56	|		|		|		|		|		|		|		|		|		|		|	reserved1 56	|	reserved2 56
prop	|	english_lang 57	|	lang 57	|	lang_english 57	|		|		|		|		|		|		|		|		|		|		|	reserved1 57	|	reserved2 57
dor	|	english_lang 58	|	lang 58	|	lang_english 58	|		|		|		|		|		|		|		|		|		|		|	reserved1 58	|	reserved2 58
mammie	|	english_lang 59	|	lang 59	|	lang_english 59	|		|		|		|		|		|		|		|		|		|		|	reserved1 59	|	reserved2 59
salon	|	english_lang 60	|	lang 60	|	lang_english 60	|		|		|		|		|		|		|		|		|		|		|	reserved1 60	|	reserved2 60
gerefa	|	english_lang 61	|	lang 61	|	lang_english 61	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 61	|	reserved2 61
kidd	|	english_lang 62	|	lang 62	|	lang_english 62	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 62	|	reserved2 62
reword	|	english_lang 63	|	lang 63	|	lang_english 63	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 63	|	reserved2 63
slake	|	english_lang 64	|	lang 64	|	lang_english 64	|		|		|		|		|		|		|		|		|	etheme4	|	ltheme4	|	reserved1 64	|	reserved2 64
giulio	|	english_lang 65	|	lang 65	|	lang_english 65	|		|		|		|		|		|		|		|		|		|		|	reserved1 65	|	reserved2 65
vivify	|	english_lang 66	|	lang 66	|	lang_english 66	|		|		|		|		|		|		|		|		|		|		|	reserved1 66	|	reserved2 66
borak	|	english_lang 67	|	lang 67	|	lang_english 67	|		|		|		|		|		|		|		|		|		|		|	reserved1 67	|	reserved2 67
dickey	|	english_lang 68	|	lang 68	|	lang_english 68	|		|		|		|		|		|		|		|		|		|		|	reserved1 68	|	reserved2 68
reeky	|	english_lang 69	|	lang 69	|	lang_english 69	|		|		|		|		|		|		|		|		|		|		|	reserved1 69	|	reserved2 69
audion	|	english_lang 70	|	lang 70	|	lang_english 70	|		|		|		|		|		|		|		|		|		|		|	reserved1 70	|	reserved2 70
sauger	|	english_lang 71	|	lang 71	|	lang_english 71	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 71	|	reserved2 71
splat	|	english_lang 72	|	lang 72	|	lang_english 72	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 72	|	reserved2 72
rtt	|	english_lang 73	|	lang 73	|	lang_english 73	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 73	|	reserved2 73
khatti	|	english_lang 74	|	lang 74	|	lang_english 74	|		|		|		|		|		|		|		|		|	etheme4	|	ltheme4	|	reserved1 74	|	reserved2 74
voodoo	|	english_lang 75	|	lang 75	|	lang_english 75	|		|		|		|		|		|		|		|		|		|		|	reserved1 75	|	reserved2 75
defuse	|	english_lang 76	|	lang 76	|	lang_english 76	|		|		|		|		|		|		|		|		|		|		|	reserved1 76	|	reserved2 76
trait	|	english_lang 77	|	lang 77	|	lang_english 77	|		|		|		|		|		|		|		|		|		|		|	reserved1 77	|	reserved2 77
albina	|	english_lang 78	|	lang 78	|	lang_english 78	|		|		|		|		|		|		|		|		|		|		|	reserved1 78	|	reserved2 78
kondo	|	english_lang 79	|	lang 79	|	lang_english 79	|		|		|		|		|		|		|		|		|		|		|	reserved1 79	|	reserved2 79
zebu	|	english_lang 80	|	lang 80	|	lang_english 80	|		|		|		|		|		|		|		|		|		|		|	reserved1 80	|	reserved2 80
pipage	|	english_lang 81	|	lang 81	|	lang_english 81	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 81	|	reserved2 81
whap	|	english_lang 82	|	lang 82	|	lang_english 82	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 82	|	reserved2 82
kandy	|	english_lang 83	|	lang 83	|	lang_english 83	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 83	|	reserved2 83
brook	|	english_lang 84	|	lang 84	|	lang_english 84	|		|		|		|		|		|		|		|		|		|		|	reserved1 84	|	reserved2 84
bah	|	english_lang 85	|	lang 85	|	lang_english 85	|		|		|		|		|		|		|		|		|		|		|	reserved1 85	|	reserved2 85
dross	|	english_lang 86	|	lang 86	|	lang_english 86	|		|		|		|		|		|		|		|		|		|		|	reserved1 86	|	reserved2 86
habub	|	english_lang 87	|	lang 87	|	lang_english 87	|		|		|		|		|		|		|		|		|		|		|	reserved1 87	|	reserved2 87
jauk	|	english_lang 88	|	lang 88	|	lang_english 88	|		|		|		|		|		|		|		|		|		|		|	reserved1 88	|	reserved2 88
sext	|	english_lang 89	|	lang 89	|	lang_english 89	|		|		|		|		|		|		|		|		|		|		|	reserved1 89	|	reserved2 89
sauch	|	english_lang 90	|	lang 90	|	lang_english 90	|		|		|		|		|		|		|		|		|		|		|	reserved1 90	|	reserved2 90
gierek	|	english_lang 91	|	lang 91	|	lang_english 91	|		|		|		|		|		|		|		|		|	"etheme1,etheme2,etheme3,"	|	"ltheme1,ltheme2,ltheme3,"	|	reserved1 91	|	reserved2 91
nay	|	english_lang 92	|	lang 92	|	lang_english 92	|		|		|		|		|		|		|		|		|	"etheme2,etheme3,etheme4"	|	"ltheme2,ltheme3,ltheme4"	|	reserved1 92	|	reserved2 92
harns	|	english_lang 93	|	lang 93	|	lang_english 93	|		|		|		|		|		|		|		|		|	etheme3	|	ltheme3	|	reserved1 93	|	reserved2 93
flneur	|	english_lang 94	|	lang 94	|	lang_english 94	|		|		|		|		|		|		|		|		|	etheme4	|	ltheme4	|	reserved1 94	|	reserved2 94
stark	|	english_lang 95	|	lang 95	|	lang_english 95	|		|		|		|		|		|		|		|		|		|		|	reserved1 95	|	reserved2 95
pedro	|	english_lang 96	|	lang 96	|	lang_english 96	|		|		|		|		|		|		|		|		|		|		|	reserved1 96	|	reserved2 96
grief	|	english_lang 97	|	lang 97	|	lang_english 97	|		|		|		|		|		|		|		|		|		|		|	reserved1 97	|	reserved2 97
gabbai	|	english_lang 98	|	lang 98	|	lang_english 98	|		|		|		|		|		|		|		|		|		|		|	reserved1 98	|	reserved2 98
hairif	|	english_lang 99	|	lang 99	|	lang_english 99	|		|		|		|		|		|		|		|		|		|		|	reserved1 99	|	reserved2 99
nepit	|	english_lang 100	|	lang 100	|	lang_english 100	|		|		|		|		|		|		|		|		|		|		|	reserved1 100	|	reserved2 100
